Commodities ,Symbol
GOLD FUTURES,GC=F
Silver May 21,SI=F
Copper May 21,HG=F
CRUDE OIL,CL=F
Brent Crude Oil ,BZ=F
Natural Gas Apr 21,NG=F
"Corn Futures,May-2021",ZC=F
"KC HRW Wheat Futures,May-2021",KE=F
Coffee May 21,KC=F
Cotton May 21,CT=F
Sugar #11 May 21,SB=F
